time,open,high,low,close,open-closeÇÃç∑,"open ,highÇÃç∑Ç™0.010à»è„",,"open ,lowÇÃç∑Ç™0.010à»è„",,"open ,highÇÃç∑Ç™0.009à»è„",,"open ,lowÇÃç∑Ç™0.009à»è„",,"open ,highÇÃç∑Ç™0.008 à»è„",,"open ,lowÇÃç∑Ç™0.008 à»è„",,"open ,highÇÃç∑Ç™0.007à»è„",,"open ,lowÇÃç∑Ç™0.007à»è„",,Volume,Volume MA,"open ,highÇÃç∑Ç™0.006à»è„",,"open ,lowÇÃç∑Ç™0.006à»è„",,"open ,highÇÃç∑Ç™0.005à»è„",,"open ,lowÇÃç∑Ç™0.005à»è„",,"open ,highÇÃç∑Ç™0.004à»è„",,"open ,lowÇÃç∑Ç™0.004à»è„",,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot,Oscillator,ATR,,CCI,Fisher,Trigger,Plot,MACD,Signal Line,Histogram,Cross
2021-04-05T04:30:00Z,110.604,110.621,110.604,110.613,0.009,1,FALSE,0,0.012,1,FALSE,0,0.012,1,FALSE,0,0.012,1,FALSE,0,0.012,200,399.7,1,FALSE,0,0.012,1,FALSE,0,0.012,1,FALSE,0,0.012,110.704125,110.966,109.4995,200,399.7,51.22219435,-0.061737857,0,52.30531232,0.034183773,0.10255132,32.72340014,-0.006248268,-0.777949167,3.917647059,-0.01984829,-0.027451192,0.007602902,NaN
2021-04-05T04:45:00Z,110.613,110.652,110.613,110.649,0.036,1,FALSE,0,0.039,1,FALSE,0,0.039,1,FALSE,0,0.039,1,FALSE,0,0.039,282,400.8,1,FALSE,0,0.039,1,FALSE,0,0.039,1,FALSE,0,0.039,110.704125,110.966,109.4995,282,400.8,58.07303815,-0.039282857,0,59.237794,0.034527789,0.103583368,111.985192,0.651237336,-0.006248268,3.917647059,-0.013400252,-0.026045637,0.012645385,NaN
2021-04-05T05:00:00Z,110.649,110.66,110.636,110.646,-0.003,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,340,377.65,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,340,377.65,57.35016858,-0.016621786,0,64.46117207,0.033775804,0.101327413,118.6346453,1.22291973,0.651237336,3.917647059,-0.008434976,-0.023956243,0.015521267,NaN
2021-04-05T05:15:00Z,110.646,110.65,110.622,110.624,-0.022,0,-0.025,1,FALSE,0,-0.025,1,FALSE,0,-0.025,1,FALSE,0,-0.025,1,FALSE,518,372.7,0,-0.025,1,FALSE,0,-0.025,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,518,372.7,52.21702265,-0.000213214,0,57.74751622,0.033363247,0.100089741,79.43925234,1.548731714,1.22291973,3.917647059,-0.006203664,-0.021585343,0.01538168,NaN
2021-04-05T05:30:00Z,110.624,110.649,110.621,110.648,0.024,1,FALSE,0,0.027,1,FALSE,0,0.027,1,FALSE,0,0.027,1,FALSE,0,0.027,483,370.85,1,FALSE,0,0.027,1,FALSE,0,0.027,1,FALSE,0,0.027,110.704125,110.966,109.4995,483,370.85,56.76347779,0.020477857,0,60.5938548,0.032980158,0.098940474,139.4756009,1.725797282,1.548731714,3.917647059,-0.002470257,-0.01845364,0.015983383,NaN
2021-04-05T05:45:00Z,110.648,110.68,110.631,110.674,0.026,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,427,348.25,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,427,348.25,61.08344885,0.041854286,0,62.9352877,0.034124432,0.102373297,176.1725772,2.038590718,1.725797282,3.917647059,0.002557001,-0.014628602,0.017185603,NaN
2021-04-05T06:00:00Z,110.674,110.688,110.668,110.673,-0.001,1,FALSE,0,-0.002,1,FALSE,0,-0.002,1,FALSE,0,-0.002,1,FALSE,0,-0.002,465,355.9,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,465,355.9,60.83169776,0.057264286,0,59.68231734,0.033115544,0.099346633,143.3998101,2.410698485,2.038590718,3.917647059,0.006386825,-0.010428032,0.016814857,NaN
2021-04-05T06:15:00Z,110.673,110.676,110.652,110.666,-0.007,0,-0.01,1,FALSE,0,-0.01,1,FALSE,0,-0.01,1,FALSE,0,-0.01,1,FALSE,906,374.95,0,-0.01,1,FALSE,0,-0.01,1,FALSE,0,-0.01,1,FALSE,110.704125,110.966,109.4995,906,374.95,58.99865481,0.067118571,0,60.50182849,0.032464434,0.097393302,113.4178125,2.33801919,2.410698485,3.917647059,0.00875621,-0.006309064,0.015065274,NaN
2021-04-05T06:30:00Z,110.666,110.668,110.643,110.644,-0.022,0,-0.025,1,FALSE,0,-0.025,1,FALSE,0,-0.025,1,FALSE,0,-0.025,1,FALSE,484,378.6,0,-0.025,1,FALSE,0,-0.025,1,FALSE,0,-0.025,1,FALSE,110.704125,110.966,109.4995,484,378.6,53.53834861,0.072047143,0,52.42131886,0.03193126,0.09579378,66.06923212,1.939606247,2.33801919,3.917647059,0.008757794,-0.002655512,0.011413306,NaN
2021-04-05T06:45:00Z,110.644,110.659,110.622,110.632,-0.012,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,690,395.2,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,690,395.2,50.77782038,0.074991071,0,51.18693399,0.032293313,0.096879939,40.89926502,1.193164011,1.939606247,3.917647059,0.007701967,0.000405628,0.007296339,NaN
2021-04-05T07:00:00Z,110.632,110.658,110.622,110.657,0.025,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,487,399.6,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,487,399.6,55.88158428,0.0796325,0,60.20078411,0.032558076,0.097674229,76.29544192,0.490137751,1.193164011,3.917647059,0.008781281,0.002870242,0.005911039,NaN
2021-04-05T07:15:00Z,110.657,110.657,110.624,110.626,-0.031,0,-0.034,1,FALSE,0,-0.034,1,FALSE,0,-0.034,1,FALSE,0,-0.034,1,FALSE,295,395.95,0,-0.034,1,FALSE,0,-0.034,1,FALSE,0,-0.034,1,FALSE,110.704125,110.966,109.4995,295,395.95,49.08507984,0.077300357,0,51.3885301,0.032589642,0.097768927,20.14337863,-0.082829275,0.490137751,3.917647059,0.007053892,0.004591228,0.002462665,NaN
2021-04-05T07:30:00Z,110.626,110.65,110.62,110.646,0.02,1,FALSE,0,0.023,1,FALSE,0,0.023,1,FALSE,0,0.023,1,FALSE,0,0.023,220,385.25,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,220,385.25,53.0522823,0.077026786,0,49.62141511,0.032404668,0.097214004,50.5952381,-0.648599915,-0.082829275,3.917647059,0.00721558,0.006082255,0.001133326,NaN
2021-04-05T07:45:00Z,110.646,110.662,110.632,110.634,-0.012,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,323,385.05,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,323,385.05,50.50928192,0.072048571,0,45.98495404,0.032232906,0.096698718,24.79941648,-0.885746027,-0.648599915,3.917647059,0.006302765,0.007057035,-0.00075427,0.007057035
2021-04-05T08:00:00Z,110.634,110.642,110.558,110.586,-0.048,0,-0.051,1,FALSE,0,-0.051,1,FALSE,0,-0.051,1,FALSE,1,FALSE,1,FALSE,1014,422.85,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,1014,422.85,41.8648482,0.057300714,0,42.81327655,0.035930555,0.107791666,-71.83175983,-1.255547891,-0.885746027,3.917647059,0.00168671,0.006960336,-0.005273626,NaN
2021-04-05T08:15:00Z,110.586,110.603,110.564,110.57,-0.016,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,783,446.3,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,110.704125,110.966,109.4995,783,446.3,39.4416767,0.035356071,0,40.97747909,0.036149802,0.108449405,-116.2000324,-1.672155348,-1.255547891,3.917647059,-0.003225432,0.005892308,-0.009117739,NaN
2021-04-05T08:30:00Z,110.57,110.61,110.566,110.593,0.023,1,FALSE,0,0.026,1,FALSE,0,0.026,1,FALSE,0,0.026,1,FALSE,0,0.026,661,470.9,1,FALSE,0,0.026,1,FALSE,0,0.026,1,FALSE,0,0.026,110.704125,110.966,109.4995,661,470.9,44.42171107,0.017575714,0,44.22084431,0.03671053,0.11013159,-79.64654606,-1.9662852,-1.672155348,3.917647059,-0.005202461,0.004341344,-0.009543806,NaN
2021-04-05T08:45:00Z,110.593,110.623,110.592,110.604,0.011,1,FALSE,0,0.014,1,FALSE,0,0.014,1,FALSE,0,0.014,1,FALSE,0,0.014,341,480.5,1,FALSE,0,0.014,1,FALSE,0,0.014,1,FALSE,0,0.014,110.704125,110.966,109.4995,341,480.5,46.68009312,0.001985714,0,40.25458547,0.036302635,0.108907905,-65.28189911,-1.714641764,-1.9662852,3.917647059,-0.005814636,0.002722185,-0.008536821,NaN
