日付,ドル円,ポンド円,オシレーター買いドル円,オシレーター中立ドル円,オシレーター売りドル円,移動平均買いドル円,移動平均中立ドル円,移動平均売りドル円,オシレーター買いポンド円,オシレーター中立ポンド円,オシレーター売りポンド円,移動平均買いポンド円,移動平均中立ポンド円,移動平均売りポンド円,S&P500指数,S&P500指数変化率,日経平均株価,日経平均株価変化率,UK100INDEX,UK100INDEX変化率,恐怖指数,恐怖指数変化率,ドル円(15分前),ポンド円(15分前),ドル円(1分後),ポンド円(1分後)
2021/01/04/ 10:24:05,103.097,141.002,1,8,2,1,1,14,2,7,2,15,1,1,3756.08,0,27136.43,0.2405,6460.5,0,22.75,0,103.08,140.982,103.107,141.059
2021/01/04/ 10:25:10,103.107,141.059,1,8,2,1,1,14,2,5,4,16,1,0,3756.08,0,27136.43,0,6460.5,0,22.75,0,103.069,140.992,103.094,141.031
2021/01/04/ 10:26:15,103.094,141.031,1,8,2,1,1,14,3,7,1,15,1,1,3756.08,0,27150.6,0.0522,6460.5,0,22.75,0,103.071,140.985,103.09,141.04
2021/01/04/ 10:27:21,103.09,141.04,1,8,2,1,1,14,2,7,2,15,1,1,3756.08,0,27150.6,0,6460.5,0,22.75,0,103.089,140.984,103.091,141.045
2021/01/04/ 10:28:26,103.091,141.045,1,8,2,1,1,14,3,7,1,13,1,3,3756.08,0,27145.7,-0.018,6460.5,0,22.75,0,103.091,141.001,103.107,141.084
2021/01/04/ 10:29:34,103.107,141.084,1,8,2,1,1,14,3,6,2,16,1,0,3756.08,0,27145.7,0,6460.5,0,22.75,0,103.088,140.988,103.11,141.076
2021/01/04/ 10:30:39,103.11,141.076,1,8,2,1,1,14,2,7,2,15,1,1,3756.08,0,27177.1,0.1157,6460.5,0,22.75,0,103.083,140.958,103.112,141.05
2021/01/04/ 10:31:46,103.112,141.05,1,8,2,1,1,14,3,7,1,15,1,1,3756.08,0,27177.1,0,6460.5,0,22.75,0,103.074,140.967,103.117,141.061
2021/01/04/ 10:32:50,103.117,141.061,1,8,2,1,1,14,2,8,1,16,1,0,3756.08,0,27177.1,0,6460.5,0,22.75,0,103.066,140.954,103.103,141.033
2021/01/04/ 10:33:55,103.103,141.033,1,8,2,1,1,14,2,9,0,11,1,5,3756.08,0,27177.1,0,6460.5,0,22.75,0,103.061,140.959,103.112,141.035
2021/01/04/ 10:34:59,103.112,141.035,1,8,2,1,1,14,1,9,1,11,1,5,3756.08,0,27144.12,-0.1214,6460.5,0,22.75,0,103.087,140.972,103.12,141.055
2021/01/04/ 10:36:05,103.12,141.055,1,8,2,1,1,14,2,8,1,12,1,4,3756.08,0,27144.12,0,6460.5,0,22.75,0,103.082,140.967,103.107,141.024
2021/01/04/ 10:37:09,103.107,141.024,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27144.12,0,6460.5,0,22.75,0,103.085,140.99,103.104,141.036
2021/01/04/ 10:38:15,103.104,141.036,1,8,2,1,1,14,2,8,1,15,1,1,3756.08,0,27144.12,0,6460.5,0,22.75,0,103.093,141.01,103.091,141.007
2021/01/04/ 10:39:20,103.091,141.007,1,8,2,1,1,14,1,9,1,9,1,7,3756.08,0,27155.33,0.0413,6460.5,0,22.75,0,103.097,141.002,103.078,141.055
2021/01/04/ 10:40:26,103.078,141.055,1,8,2,1,1,14,1,8,2,14,1,2,3756.08,0,27155.33,0,6460.5,0,22.75,0,103.107,141.059,103.06,141.062
2021/01/04/ 10:41:31,103.06,141.062,1,8,2,1,1,14,2,7,2,15,1,1,3756.08,0,27169.17,0.051,6460.5,0,22.75,0,103.094,141.031,103.05,141.066
2021/01/04/ 10:42:37,103.05,141.066,1,8,2,1,1,14,2,8,1,15,1,1,3756.08,0,27169.17,0,6460.5,0,22.75,0,103.09,141.04,103.081,141.068
2021/01/04/ 10:43:43,103.081,141.068,1,8,2,1,1,14,2,7,2,15,1,1,3756.08,0,27184.03,0.0547,6460.5,0,22.75,0,103.091,141.045,103.075,141.075
2021/01/04/ 10:44:50,103.075,141.075,1,8,2,1,1,14,1,8,2,16,1,0,3756.08,0,27184.03,0,6460.5,0,22.75,0,103.107,141.084,103.071,141.03
2021/01/04/ 10:45:54,103.071,141.03,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27208.64,0.0905,6460.5,0,22.75,0,103.11,141.076,103.066,141.021
2021/01/04/ 10:47:00,103.066,141.021,1,8,2,1,1,14,0,9,2,6,1,10,3756.08,0,27208.64,0,6460.5,0,22.75,0,103.112,141.05,103.074,141.046
2021/01/04/ 10:48:04,103.074,141.046,1,8,2,1,1,14,2,8,1,13,1,3,3756.08,0,27245.53,0.1356,6460.5,0,22.75,0,103.117,141.061,103.07,141.05
2021/01/04/ 10:49:09,103.07,141.05,1,8,2,1,1,14,1,8,2,15,1,1,3756.08,0,27245.53,0,6460.5,0,22.75,0,103.103,141.033,103.05,141.07
2021/01/04/ 10:50:15,103.05,141.07,1,8,2,1,1,14,3,7,1,16,1,0,3756.08,0,27221.87,-0.0868,6460.5,0,22.75,0,103.112,141.035,103.038,141.036
2021/01/04/ 10:51:20,103.038,141.036,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27221.87,0,6460.5,0,22.75,0,103.12,141.055,103.064,141.036
2021/01/04/ 10:52:26,103.064,141.036,1,8,2,1,1,14,1,8,2,6,1,10,3756.08,0,27279.46,0.2116,6460.5,0,22.75,0,103.107,141.024,103.054,141.016
2021/01/04/ 10:53:32,103.054,141.016,1,8,2,1,1,14,2,7,2,3,1,13,3756.08,0,27279.46,0,6460.5,0,22.75,0,103.104,141.036,103.071,141.021
2021/01/04/ 10:54:38,103.071,141.021,1,8,2,1,1,14,1,8,2,3,1,13,3756.08,0,27297.33,0.0655,6460.5,0,22.75,0,103.091,141.007,103.061,141.01
2021/01/04/ 10:55:44,103.061,141.01,1,8,2,1,1,14,1,7,3,1,1,15,3756.08,0,27297.33,0,6460.5,0,22.75,0,103.078,141.055,103.07,141.032
2021/01/04/ 10:56:52,103.07,141.032,1,8,2,1,1,14,1,7,3,14,0,3,3756.08,0,27297.33,0,6460.5,0,22.75,0,103.06,141.062,103.069,141.041
2021/01/04/ 10:57:57,103.069,141.041,1,8,2,1,1,14,2,7,2,4,1,12,3756.08,0,27297.33,0,6460.5,0,22.75,0,103.05,141.066,103.05,141.015
2021/01/04/ 10:59:02,103.05,141.015,1,8,2,1,1,14,0,9,2,4,1,12,3756.08,0,27257.33,-0.1465,6460.5,0,22.75,0,103.081,141.068,103.054,141.01
2021/01/04/ 11:00:07,103.054,141.01,1,8,2,1,1,14,0,8,3,2,1,14,3756.08,0,27257.33,0,6460.5,0,22.75,0,103.075,141.075,103.048,140.992
