,名前,天気,ラウンド,頭数,馬番,斥量,フィールド,距離,馬場,馬場指数,着差,タイム指数,上り,馬体重,賞金,着順,タイム
34294,1,1,1,16,14,54.0,1.0,1800,1,-9.0,1.3,67.0,39.1,94.0,0.0,6,116.50000000000001
34295,1,1,1,16,15,54.0,1.0,1800,1,-9.0,0.2,79.0,38.1,78.0,200.0,2,115.4
34296,1,1,5,16,6,56.0,1.0,1800,1,-8.0,1.8,73.0,35.9,76.0,0.0,8,111.2
34297,1,1,2,16,12,51.0,1.0,1200,1,4.0,2.9,33.0,40.9,12.0,0.0,13,77.0
34298,1,1,3,15,3,56.0,1.0,1800,1,-9.0,-0.4,81.0,38.3,96.0,510.0,1,114.7
34299,1,1,3,13,6,56.0,1.0,1800,1,4.0,3.3,48.0,41.4,66.0,0.0,12,119.00000000000001
34300,1,1,5,16,15,51.0,1.0,1600,1,-12.0,2.5,64.0,35.8,30.0,0.0,12,96.80000000000001
34301,1,1,5,16,4,56.0,1.0,1600,1,-12.0,0.4,87.0,34.5,94.0,200.0,2,94.7
34302,1,1,3,13,10,56.0,1.0,1800,1,4.0,2.4,56.0,40.0,0.0,0.0,9,118.10000000000001
34303,1,1,2,16,4,56.0,1.0,1200,1,4.0,-0.1,73.0,38.4,68.0,510.0,1,74.10000000000001
34304,1,1,1,16,12,54.0,1.0,1800,1,-9.0,5.5,30.0,43.3,0.0,0.0,15,120.7
34305,1,1,3,15,15,56.0,1.0,1800,1,-9.0,0.4,78.0,39.1,2.0,200.0,2,115.10000000000001
34306,1,1,1,16,16,54.0,1.0,1800,1,-9.0,0.4,76.0,38.1,6.0,130.0,3,115.60000000000001
34307,1,1,3,13,4,56.0,1.0,1800,1,4.0,-0.4,77.0,38.8,62.0,510.0,1,115.7
34308,1,1,1,15,1,54.0,1.0,1800,1,4.0,1.7,58.0,40.3,68.0,0.0,9,117.9
34309,1,1,3,15,11,56.0,1.0,1800,1,-9.0,1.7,0.0,40.3,68.0,0.0,9,117.9
34310,1,1,1,15,13,51.0,1.0,1800,1,4.0,4.2,36.0,42.3,32.0,0.0,12,120.4
34311,1,1,5,16,14,56.0,1.0,1600,1,-12.0,0.6,86.0,34.6,92.0,77.0,4,94.9
34312,1,1,5,16,4,56.0,1.0,1800,1,-8.0,-0.1,89.0,35.2,90.0,510.0,1,109.4
34313,1,1,5,16,6,56.0,1.0,1600,1,-12.0,-0.4,91.0,34.3,76.0,510.0,1,94.30000000000001
34314,1,1,1,15,8,54.0,1.0,1800,1,4.0,-0.4,73.0,38.9,54.0,510.0,1,116.2
34315,1,1,5,16,9,52.0,1.0,1800,1,-8.0,2.7,62.0,37.3,28.0,0.0,11,112.10000000000001
34316,1,1,6,13,2,56.0,1.0,2200,1,-12.0,3.2,67.0,37.1,48.0,0.0,11,136.70000000000002
34317,1,1,4,14,14,56.0,1.0,1400,1,4.0,-0.1,83.0,37.6,88.0,510.0,1,86.30000000000001
34318,1,1,4,14,5,56.0,1.0,1400,1,4.0,1.5,65.0,38.8,76.0,0.0,8,87.80000000000001
34319,1,1,5,16,11,53.0,1.0,1600,1,-12.0,3.8,50.0,37.9,28.0,0.0,15,98.10000000000001
34320,1,1,3,13,11,56.0,1.0,1800,1,4.0,0.9,69.0,40.1,92.0,77.0,4,116.60000000000001
34321,1,1,2,16,16,53.0,1.0,1200,1,-10.0,-0.4,79.0,38.2,24.0,510.0,1,72.30000000000001
34322,1,1,6,13,6,56.0,1.0,2200,1,-12.0,1.9,78.0,36.0,52.0,0.0,6,135.4
34323,1,1,4,14,8,56.0,1.0,1400,1,4.0,0.6,76.0,38.9,68.0,51.0,5,86.9
34324,1,1,2,16,9,56.0,1.0,1200,1,-10.0,1.6,57.0,38.2,88.0,0.0,8,73.9
34325,1,1,2,16,6,53.0,1.0,1200,1,4.0,3.9,19.0,41.9,38.0,0.0,15,78.0
34326,1,1,1,15,7,54.0,1.0,1800,1,4.0,3.9,0.0,41.9,12.0,0.0,15,78.0
34327,1,1,3,13,1,54.0,1.0,1800,1,4.0,2.8,53.0,40.2,92.0,0.0,10,118.50000000000001
34328,1,1,6,13,7,56.0,1.0,2200,1,-12.0,2.4,73.0,36.9,22.0,0.0,10,135.9
34329,1,1,1,16,9,54.0,1.0,1800,1,-9.0,-0.2,80.0,37.7,46.0,510.0,1,115.2
34330,1,1,2,16,8,56.0,1.0,1200,1,-10.0,2.8,43.0,38.2,98.0,0.0,12,75.10000000000001
34331,1,1,2,16,6,54.0,1.0,1200,1,-10.0,2.9,39.0,40.0,48.0,0.0,13,75.2
34332,1,1,2,16,11,56.0,1.0,1200,1,-10.0,3.1,39.0,38.6,40.0,0.0,16,75.4
34333,1,1,3,15,12,54.0,1.0,1800,1,-9.0,1.5,68.0,38.7,56.0,0.0,7,116.2
34334,1,1,1,15,9,53.0,1.0,1800,1,4.0,1,64.0,39.7,82.0,0.0,7,117.2
34335,1,1,1,15,5,51.0,1.0,1800,1,4.0,2,55.0,40.0,66.0,0.0,11,118.2
34336,1,1,2,16,14,56.0,1.0,1200,1,4.0,0.4,68.0,37.7,56.0,130.0,3,74.5
34337,1,1,5,16,7,54.0,1.0,1600,1,-12.0,2.8,60.0,37.0,46.0,0.0,14,97.10000000000001
34338,1,1,5,16,10,56.0,1.0,1600,1,-12.0,4.4,43.0,38.3,60.0,0.0,16,98.7
34339,1,1,6,13,13,56.0,1.0,2200,1,-12.0,0.9,87.0,35.2,96.0,77.0,4,134.4
