現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/03/29/ 23:07:54,2021-03-29 14:50,注文無し,109.116,1,109.456,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:55,2021-03-29 14:55,買い注文(極少),109.136,0,109.432,109.45,109.419
2021/03/29/ 23:07:55,2021-03-29 15:00,注文無し,109.045,0,109.447,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:56,2021-03-29 15:05,注文無し,109.044,0,109.447,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:57,2021-03-29 15:10,注文無し,109.012,0,109.47900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:57,2021-03-29 15:15,注文無し,109.004,0,109.489,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:58,2021-03-29 15:20,注文無し,108.994,0,109.511,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:07:58,2021-03-29 15:25,買い注文(極少),109.005,0,109.494,109.512,109.481
2021/03/29/ 23:07:59,2021-03-29 15:30,買い注文(極少),109.011,0,109.484,109.502,109.47099999999999
2021/03/29/ 23:07:59,2021-03-29 15:35,注文無し,108.984,0,109.503,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:00,2021-03-29 15:40,注文無し,108.971,0,109.535,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:00,2021-03-29 15:45,注文無し,108.969,0,109.549,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:01,2021-03-29 15:50,買い注文(極少),108.97,0,109.54,109.558,109.527
2021/03/29/ 23:08:01,2021-03-29 15:55,注文無し,108.969,0,109.55499999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:02,2021-03-29 16:00,買い注文(極少),108.971,0,109.54,109.558,109.527
2021/03/29/ 23:08:02,2021-03-29 16:05,注文無し,108.968,0,109.565,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:03,2021-03-29 16:10,注文無し,108.966,0,109.568,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:03,2021-03-29 16:15,買い注文(極少),108.967,0,109.552,109.57000000000001,109.539
2021/03/29/ 23:08:04,2021-03-29 16:20,注文無し,108.966,0,109.567,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:04,2021-03-29 16:25,注文無し,108.966,0,109.595,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/29/ 23:08:05,2021-03-29 16:30,注文無し,108.966,0,109.571,予測値が同じためオーダーしない,予測値が同じためオーダーしない
