åªç›éûçè,ó\ë™éûçè,ÉIÅ[É_Å[,ó\ë™íl,MACD_judge,åªç›âøäi,tp,sl
2021/03/31/ 04:45:00,2021-03-31 04:45,íçï∂ñ≥Çµ,110.1,0,110.335,110.375,110.235
2021/03/31/ 04:50:00,2021-03-31 05:00,íçï∂ñ≥Çµ,110.121,1,110.335,110.375,110.235
2021/03/31/ 04:55:01,2021-03-31 05:00,íçï∂ñ≥Çµ,110.121,1,110.335,110.375,110.235
2021/03/31/ 05:00:01,2021-03-31 05:00,íçï∂ñ≥Çµ,110.121,1,110.335,110.375,110.235
2021/03/31/ 05:05:01,2021-03-31 05:15,îÉÇ¢íçï∂(ã…è≠),110.126,0,110.339,110.379,110.239
2021/03/31/ 05:10:00,2021-03-31 05:15,íçï∂ñ≥Çµ,110.126,0,110.339,110.379,110.239
2021/03/31/ 05:15:00,2021-03-31 05:15,íçï∂ñ≥Çµ,110.126,0,110.339,110.379,110.239
2021/03/31/ 05:20:00,2021-03-31 05:30,îÉÇ¢íçï∂(ã…è≠),110.13,0,110.362,110.402,110.262
2021/03/31/ 05:25:00,2021-03-31 05:30,íçï∂ñ≥Çµ,110.13,0,110.362,110.402,110.262
2021/03/31/ 05:30:01,2021-03-31 05:30,íçï∂ñ≥Çµ,110.13,0,110.362,110.402,110.262
2021/03/31/ 05:35:01,2021-03-31 05:45,íçï∂ñ≥Çµ,110.077,0,110.362,110.402,110.262
2021/03/31/ 05:40:01,2021-03-31 05:45,íçï∂ñ≥Çµ,110.077,0,110.362,110.402,110.262
2021/03/31/ 05:45:01,2021-03-31 05:45,íçï∂ñ≥Çµ,110.077,0,110.362,110.402,110.262
2021/03/31/ 05:50:01,2021-03-31 06:00,íçï∂ñ≥Çµ,110.103,1,110.362,110.402,110.262
2021/03/31/ 05:55:01,2021-03-31 06:00,íçï∂ñ≥Çµ,110.103,1,110.362,110.402,110.262
2021/03/31/ 06:00:00,2021-03-31 06:00,íçï∂ñ≥Çµ,110.103,1,110.362,110.402,110.262
2021/03/31/ 06:05:00,2021-03-31 06:15,îÉÇ¢íçï∂(ã…è≠),110.12,0,110.362,110.402,110.262
2021/03/31/ 06:10:01,2021-03-31 06:15,íçï∂ñ≥Çµ,110.12,0,110.362,110.402,110.262
2021/03/31/ 06:15:00,2021-03-31 06:15,íçï∂ñ≥Çµ,110.12,0,110.362,110.402,110.262
2021/03/31/ 06:20:00,2021-03-31 06:30,íçï∂ñ≥Çµ,110.131,1,110.362,110.402,110.262
2021/03/31/ 06:25:00,2021-03-31 06:30,íçï∂ñ≥Çµ,110.131,1,110.362,110.402,110.262
2021/03/31/ 06:30:00,2021-03-31 06:30,íçï∂ñ≥Çµ,110.131,1,110.362,110.402,110.262
2021/03/31/ 06:35:00,2021-03-31 06:45,îÑÇËíçï∂(è≠),110.064,1,110.362,110.402,110.262
2021/03/31/ 06:40:00,2021-03-31 06:45,íçï∂ñ≥Çµ,110.064,1,110.362,110.402,110.262
2021/03/31/ 06:45:01,2021-03-31 06:45,íçï∂ñ≥Çµ,110.064,1,110.362,110.402,110.262
2021/03/31/ 06:50:01,2021-03-31 07:00,íçï∂ñ≥Çµ,110.115,1,110.362,110.402,110.262
2021/03/31/ 06:55:01,2021-03-31 07:00,íçï∂ñ≥Çµ,110.115,1,110.362,110.402,110.262
2021/03/31/ 07:00:01,2021-03-31 07:00,íçï∂ñ≥Çµ,110.115,1,110.362,110.402,110.262
2021/03/31/ 07:05:01,2021-03-31 07:15,íçï∂ñ≥Çµ,110.092,0,110.362,110.402,110.262
2021/03/31/ 07:10:01,2021-03-31 07:15,íçï∂ñ≥Çµ,110.092,0,110.362,110.402,110.262
2021/03/31/ 07:15:01,2021-03-31 07:30,îÉÇ¢íçï∂(è≠),110.123,0,110.362,110.402,110.262
2021/03/31/ 07:20:01,2021-03-31 07:30,íçï∂ñ≥Çµ,110.123,0,110.362,110.402,110.262
2021/03/31/ 07:25:01,2021-03-31 07:30,íçï∂ñ≥Çµ,110.123,0,110.362,110.402,110.262
2021/03/31/ 07:30:01,2021-03-31 07:30,íçï∂ñ≥Çµ,110.123,0,110.362,110.402,110.262
2021/03/31/ 07:35:01,2021-03-31 07:45,îÑÇËíçï∂(è≠),110.065,1,110.362,110.402,110.262
2021/03/31/ 07:40:00,2021-03-31 07:45,íçï∂ñ≥Çµ,110.065,1,110.362,110.402,110.262
2021/03/31/ 07:45:00,2021-03-31 07:45,íçï∂ñ≥Çµ,110.065,1,110.362,110.402,110.262
2021/03/31/ 07:50:00,2021-03-31 08:00,íçï∂ñ≥Çµ,110.082,1,110.362,110.402,110.262
2021/03/31/ 07:55:01,2021-03-31 08:00,íçï∂ñ≥Çµ,110.082,1,110.362,110.402,110.262
2021/03/31/ 08:00:01,2021-03-31 08:00,íçï∂ñ≥Çµ,110.082,1,110.362,110.402,110.262
2021/03/31/ 08:05:00,2021-03-31 08:15,îÉÇ¢íçï∂(ã…è≠),110.097,0,110.362,110.402,110.262
2021/03/31/ 08:10:00,2021-03-31 08:15,íçï∂ñ≥Çµ,110.097,0,110.362,110.402,110.262
2021/03/31/ 08:15:00,2021-03-31 08:15,íçï∂ñ≥Çµ,110.097,0,110.362,110.402,110.262
2021/03/31/ 08:20:00,2021-03-31 08:30,íçï∂ñ≥Çµ,110.124,1,110.362,110.402,110.262
2021/03/31/ 08:25:00,2021-03-31 08:30,íçï∂ñ≥Çµ,110.124,1,110.362,110.402,110.262
2021/03/31/ 08:30:00,2021-03-31 08:30,íçï∂ñ≥Çµ,110.124,1,110.362,110.402,110.262
2021/03/31/ 08:35:01,2021-03-31 08:45,îÑÇËíçï∂(è≠),110.065,1,110.308,110.268,110.408
2021/03/31/ 08:40:01,2021-03-31 08:45,íçï∂ñ≥Çµ,110.065,1,110.308,110.268,110.408
2021/03/31/ 08:45:01,2021-03-31 08:45,íçï∂ñ≥Çµ,110.065,1,110.308,110.268,110.408
2021/03/31/ 08:50:01,2021-03-31 09:00,íçï∂ñ≥Çµ,110.075,1,110.308,110.268,110.408
2021/03/31/ 08:55:01,2021-03-31 09:00,íçï∂ñ≥Çµ,110.075,1,110.308,110.268,110.408
2021/03/31/ 09:00:01,2021-03-31 09:00,íçï∂ñ≥Çµ,110.075,1,110.308,110.268,110.408
2021/03/31/ 09:05:00,2021-03-31 09:15,íçï∂ñ≥Çµ,110.081,1,110.308,110.268,110.408
2021/03/31/ 09:10:00,2021-03-31 09:15,íçï∂ñ≥Çµ,110.081,1,110.308,110.268,110.408
2021/03/31/ 09:15:00,2021-03-31 09:15,íçï∂ñ≥Çµ,110.081,1,110.308,110.268,110.408
2021/03/31/ 09:20:01,2021-03-31 09:30,íçï∂ñ≥Çµ,110.066,0,110.308,110.268,110.408
2021/03/31/ 09:25:01,2021-03-31 09:30,íçï∂ñ≥Çµ,110.066,0,110.308,110.268,110.408
2021/03/31/ 09:30:00,2021-03-31 09:30,íçï∂ñ≥Çµ,110.066,0,110.308,110.268,110.408
2021/03/31/ 09:35:00,2021-03-31 09:45,íçï∂ñ≥Çµ,110.049,0,110.308,110.268,110.408
2021/03/31/ 09:40:00,2021-03-31 09:45,íçï∂ñ≥Çµ,110.049,0,110.308,110.268,110.408
2021/03/31/ 09:45:00,2021-03-31 09:45,íçï∂ñ≥Çµ,110.049,0,110.308,110.268,110.408
2021/03/31/ 09:50:00,2021-03-31 10:00,îÉÇ¢íçï∂(è≠),110.107,0,110.308,110.268,110.408
2021/03/31/ 09:55:00,2021-03-31 10:00,íçï∂ñ≥Çµ,110.107,0,110.308,110.268,110.408
2021/03/31/ 10:00:00,2021-03-31 10:00,íçï∂ñ≥Çµ,110.107,0,110.308,110.268,110.408
2021/03/31/ 10:05:00,2021-03-31 10:15,îÉÇ¢íçï∂(è≠),110.168,0,110.653,110.69300000000001,110.55300000000001
2021/03/31/ 10:10:00,2021-03-31 10:15,íçï∂ñ≥Çµ,110.168,0,110.653,110.69300000000001,110.55300000000001
2021/03/31/ 10:15:00,2021-03-31 10:15,íçï∂ñ≥Çµ,110.168,0,110.653,110.69300000000001,110.55300000000001
2021/03/31/ 10:20:00,2021-03-31 10:30,îÉÇ¢íçï∂(è≠),110.238,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:25:00,2021-03-31 10:30,íçï∂ñ≥Çµ,110.238,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:30:00,2021-03-31 10:30,íçï∂ñ≥Çµ,110.238,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:35:00,2021-03-31 10:45,íçï∂ñ≥Çµ,110.157,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:40:00,2021-03-31 10:45,íçï∂ñ≥Çµ,110.157,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:45:00,2021-03-31 10:45,íçï∂ñ≥Çµ,110.157,0,110.572,110.61200000000001,110.47200000000001
2021/03/31/ 10:50:00,2021-03-31 11:00,îÉÇ¢íçï∂(è≠),110.181,0,110.645,110.685,110.545
2021/03/31/ 10:55:01,2021-03-31 11:00,íçï∂ñ≥Çµ,110.181,0,110.645,110.685,110.545
2021/03/31/ 11:00:01,2021-03-31 11:00,íçï∂ñ≥Çµ,110.181,0,110.645,110.685,110.545
2021/03/31/ 11:05:01,2021-03-31 11:15,îÉÇ¢íçï∂(è≠),110.213,0,110.63,110.67,110.53
2021/03/31/ 11:10:00,2021-03-31 11:15,íçï∂ñ≥Çµ,110.213,0,110.63,110.67,110.53
2021/03/31/ 11:15:00,2021-03-31 11:15,íçï∂ñ≥Çµ,110.213,0,110.63,110.67,110.53
2021/03/31/ 11:20:00,2021-03-31 11:30,îÉÇ¢íçï∂(ã…è≠),110.217,0,110.619,110.659,110.519
2021/03/31/ 11:25:01,2021-03-31 11:30,íçï∂ñ≥Çµ,110.217,0,110.619,110.659,110.519
2021/03/31/ 11:30:01,2021-03-31 11:30,íçï∂ñ≥Çµ,110.217,0,110.619,110.659,110.519
2021/03/31/ 11:35:01,2021-03-31 11:45,íçï∂ñ≥Çµ,110.159,0,110.619,110.659,110.519
2021/03/31/ 11:40:01,2021-03-31 11:45,íçï∂ñ≥Çµ,110.159,0,110.619,110.659,110.519
2021/03/31/ 11:45:01,2021-03-31 11:45,íçï∂ñ≥Çµ,110.159,0,110.619,110.659,110.519
2021/03/31/ 11:50:00,2021-03-31 12:00,îÉÇ¢íçï∂(è≠),110.202,0,110.69,110.73,110.59
2021/03/31/ 11:55:00,2021-03-31 12:00,íçï∂ñ≥Çµ,110.202,0,110.69,110.73,110.59
2021/03/31/ 12:00:00,2021-03-31 12:00,íçï∂ñ≥Çµ,110.202,0,110.69,110.73,110.59
2021/03/31/ 12:05:00,2021-03-31 12:15,îÉÇ¢íçï∂(ã…è≠),110.21,0,110.69,110.73,110.59
2021/03/31/ 12:10:01,2021-03-31 12:15,íçï∂ñ≥Çµ,110.21,0,110.69,110.73,110.59
2021/03/31/ 12:15:01,2021-03-31 12:15,íçï∂ñ≥Çµ,110.21,0,110.69,110.73,110.59
2021/03/31/ 12:42:14,2021-03-31 12:45,íçï∂ñ≥Çµ,110.243,0,0,0,0
2021/03/31/ 12:45:01,2021-03-31 12:45,íçï∂ñ≥Çµ,110.243,0,0,0,0
2021/03/31/ 13:00:00,2021-03-31 13:00,îÉÇ¢íçï∂(ã…è≠),110.256,0,110.854,110.894,110.754
2021/03/31/ 13:15:01,2021-03-31 13:15,îÉÇ¢íçï∂(ã…è≠),110.274,0,110.855,110.89500000000001,110.75500000000001
2021/03/31/ 13:30:00,2021-03-31 13:30,íçï∂ñ≥Çµ,110.279,1,110.855,110.89500000000001,110.75500000000001
2021/03/31/ 13:45:01,2021-03-31 13:45,íçï∂ñ≥Çµ,110.212,0,110.855,110.89500000000001,110.75500000000001
2021/03/31/ 14:15:00,2021-03-31 14:15,íçï∂ñ≥Çµ,110.245,1,110.855,110.89500000000001,110.75500000000001
2021/03/31/ 14:30:01,2021-03-31 14:30,íçï∂ñ≥Çµ,110.264,1,110.855,110.89500000000001,110.75500000000001
2021/03/31/ 14:45:01,2021-03-31 14:45,îÑÇËíçï∂(è≠),110.187,1,110.844,110.80399999999999,110.94399999999999
2021/03/31/ 15:00:00,2021-03-31 15:00,íçï∂ñ≥Çµ,110.201,1,110.844,110.80399999999999,110.94399999999999
2021/03/31/ 15:15:01,2021-03-31 15:15,íçï∂ñ≥Çµ,110.212,1,110.844,110.80399999999999,110.94399999999999
2021/03/31/ 15:30:01,2021-03-31 15:30,îÑÇËíçï∂(ã…è≠),110.206,1,110.735,110.695,110.835
2021/03/31/ 15:45:00,2021-03-31 15:45,îÑÇËíçï∂(è≠),110.157,1,110.71,110.66999999999999,110.80999999999999
2021/03/31/ 16:00:01,2021-03-31 16:00,íçï∂ñ≥Çµ,110.166,1,110.71,110.66999999999999,110.80999999999999
2021/03/31/ 16:15:01,2021-03-31 16:15,íçï∂ñ≥Çµ,110.167,1,110.71,110.66999999999999,110.80999999999999
2021/03/31/ 16:30:01,2021-03-31 16:30,îÑÇËíçï∂(ã…è≠),110.147,1,110.664,110.624,110.764
2021/03/31/ 16:45:01,2021-03-31 16:45,îÑÇËíçï∂(è≠),110.08,1,110.703,110.663,110.803
2021/03/31/ 17:00:00,2021-03-31 17:00,íçï∂ñ≥Çµ,110.085,1,110.703,110.663,110.803
2021/03/31/ 17:15:01,2021-03-31 17:15,íçï∂ñ≥Çµ,110.106,1,110.703,110.663,110.803
2021/03/31/ 17:30:00,2021-03-31 17:30,íçï∂ñ≥Çµ,110.123,1,110.703,110.663,110.803
2021/03/31/ 17:45:01,2021-03-31 17:45,îÑÇËíçï∂(è≠),110.068,1,110.604,110.564,110.704
2021/03/31/ 18:00:01,2021-03-31 18:00,íçï∂ñ≥Çµ,110.075,1,110.604,110.564,110.704
2021/03/31/ 18:15:00,2021-03-31 18:15,íçï∂ñ≥Çµ,110.082,1,110.604,110.564,110.704
2021/03/31/ 18:30:00,2021-03-31 18:30,îÑÇËíçï∂(è≠),110.061,1,110.59,110.55,110.69
2021/03/31/ 18:45:01,2021-03-31 18:45,îÑÇËíçï∂(è≠),110.017,1,110.552,110.512,110.652
2021/03/31/ 19:00:00,2021-03-31 19:00,íçï∂ñ≥Çµ,110.047,1,110.552,110.512,110.652
2021/03/31/ 19:15:01,2021-03-31 19:15,íçï∂ñ≥Çµ,110.057,1,110.552,110.512,110.652
2021/03/31/ 19:30:00,2021-03-31 19:30,îÉÇ¢íçï∂(ã…è≠),110.07,0,110.652,110.69200000000001,110.552
2021/03/31/ 19:45:01,2021-03-31 19:45,íçï∂ñ≥Çµ,110.062,0,110.652,110.69200000000001,110.552
